Arabic,English
الغرفة ,The room
وحسب ,According to
المساعدة ,Help
الخارج ,outside
بعيداً ,Far away
أعطني ,Give me
اذن ,permission 
سيء ,bad 
العديد ,Many
أصبحت ,I became
الطبيب ,doctor
رسالة ,message 
خمسة ,five
كَانَ ,He was 
يذهب ,He goes 
العشاء ,dinner 
الفتيات ,girls
النساء ,women
ضد ,against 
تحصل ,Get
نقوم ,We do
جيدا ,well 
يهم ,It matters
بهم ,With them
الموضوع ,the topic 
وفي ,And in
الممكن ,Possible
اخر ,last 
الفتى ,The boy
مباشرة ,directly 
بالأمر ,By order
أتذكر ,I remember
بيت ,house 
مايك ,Mike
لأني ,Because
بطريقة ,In a way
ساعات ,hours 
حينما ,When
فترة ,a period 
الأشخاص ,People
نيويورك ,New York 
أراك ,I see you
أنتي ,female 
شكرًا ,Thanks 
اسم ,name 
قصة ,story 
توجد ,There are
القادمة ,Next
امرأة ,woman 
فتى ,boy
أَنا ,I 
افضل ,better 
حقيقي ,TRUE 
بواسطة ,By
مجنون ,crazy
زوجتي ,my wife 
أهذا ,Is this
متأكدة ,I'm sure
ذاهب ,Going
يحصل ,He gets
تحب ,love
أتعرف ,Do you know
النهاية ,the end 
مكتب ,office 
ولن ,And will not
مثلك ,like you 
اننا ,We
بالخارج ,Abroad
لهذه ,For this
الحق ,Right
بلى ,indeed 
أصدق ,The most truthful
أخر ,last 
آمل ,hope 
اه ,Yes 
أنْ ,that 
الإطلاق ,Launch
فرانك ,Frank
طلب ,to request 
بدأ ,Started
لعبة ,game
مرحبًا ,Welcome 
جورج ,George
قريباً ,almost 
اني ,that I 
مجموعة ,group 
أمام ,In front of
الحديث ,Hadith
جي ,G
مساعدتك ,Your help
حاول ,Try 
شخصاً ,person
حقيقة ,fact 
جميعا ,All
اللقاء ,The meeting
وبعد ,And after
مدى ,Extent
صورة ,Image
بأنها ,That she
سوى ,Except
التفكير ,thinking
الملك ,the king 
الأخيرة ,The last
الثانية ,Second
فهو ,He
مِن ,from 
تحدث ,to speak 
فيما ,In the
الوضع ,the situation 
عدد ,number 
حفلة ,a party 
ولكني ,But I
لسنا ,We are not
تبقى ,Stay
بشيء ,something
مدينة ,city ​​
كهذا ,Like this
كلها ,All of them
انتهى ,I finish 
كُلّ ,all 
يحاول ,He tries
نحو ,Towards
أشهر ,Most famous
مثير ,arousing 
شركة ,a company 
تفهم ,Understand
اسف ,Sorry 
الجديدة ,New
لكل ,For each
أصدقاء ,friends 
النوع ,Type
الجيد ,Good
اى ,any 
إليها ,To her
بأني ,That I
ميت ,dead 
بيننا ,Between us
الرب ,Lord
عملية ,practical 
ذو ,With
بيتر ,Peter
بعضنا ,Some of us
القضية ,The case
وكل ,And all
أحضر ,Bring
قيد ,Under
تشارلي ,Charlie
أخرج ,Get out 
قادم ,Coming
الواضح ,Clear
دعيني ,Let me
تفضل ,Help yourself 
توم ,Tom
أتيت ,I came
أيضًا ,also 
أسمع ,Listen 
تأخذ ,Take
قول ,Say
العائلة ,Family
بنفسك ,yourself
موعد ,an appointment 
عندي ,I have 
أثناء ,During
ممكن ,maybe 
تخبرني ,Tell me
إذًا ,if 
الكبير ,The big one
صاح ,He shouted
إنتظر ,I am waiting 
الزواج ,marriage
فعلته ,I did it
بكِ ,With you
ولكنه ,But he
حبيبتي ,My dear 
تذكر ,to remember 
أمك ,Your mother
مستحيل ,impossible 
اعتقدت ,I believed 
مليون ,million 
إليّ ,to 
علم ,science 
قل ,Say 
طلبت ,I asked
ربّما ,maybe 
ذاك ,That
حسن ,Hassan
الأخرى ,The other
يحتاج ,Needs
تعود ,Return
الهي ,My God
زلت ,I'm still
نسيت ,I forgot 
وصلت ,It arrived 
انتظري ,Wait
نعلم ,We know
أنّي ,that I 
النظر ,Looking
إذهب ,Go 
أتريد ,Do you want
عدة ,several
سيحدث ,It will happen
ابن ,son 
لديكِ ,You have
الصعب ,The difficult
تقريباً ,almost 
الحظ ,luck
ألف ,one thousand 
مساعدة ,help 
تصبح ,become
سأقوم ,I will
جين ,Gene
جئت ,I came
خلف ,behind 
خمس ,five
د ,d
الحقيقي ,The real
منكم ,From you
دي ,D
يمكنكِ ,You could 
أربعة ,four
القليل ,A little
يزال ,Still
الدم ,blood
إننا ,We
أسرع ,faster 
البداية ,the beginning 
سأعود ,I will return
صعب ,difficult 
بعيدا ,Far away
كن ,Be 
عرض ,an offer 
بكثير ,By far
وعندما ,And when
اسمه ,His name
تفكر ,Thinking
آنسة ,Ms 
تعتقدين ,Do you think
فقدت ,Lost
مهم ,Important
يتحدث ,He speaks 
بتلك ,With that
لأي ,For any
بعدها ,After that
يريدون ,They want
يوماً ,day
يعود ,He returns
جاء ,came
هُناك ,there 
أتعلمين ,Do you know
ترك ,to leave 
المناسب ,Suitable
السؤال ,Question
اكون ,I am
الآخرين ,Others
تقصد ,You mean
اتصل ,Call 
تبدين ,You look
للعمل ,For work
معهم ,With them
التالي ,the next 
شرطة ,Police
قط ,cat 
جريمة ,crime
أبحث ,I'm looking
توقفي ,Stop
بنفسي ,myself
الشمس ,The sun
فكرت ,I thought
يفترض ,It is assumed
السماء ,the sky 
الوصول ,Access
الجانب ,side
أحصل ,I get
عشرة ,ten
معا ,together 
الداخل ,Inside
أعود ,I return
المعلومات ,Information
تحمل ,to bear 
حَسناً ,Good 
أطفال ,children 
الثاني ,the second 
جيّد ,good 
هذة ,This is amazing 
ببعض ,With some
يارجل ,Man
ماري ,Mary
بكم ,with you 
وداعاً ,Farewell 
يعد ,It is
الأيام ,Days
أسوأ ,worst
مشاكل ,problems 
